Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
31.636722443890672	cure	[0.145604, 0.362613, 0.0207401, 19.432, 2.44422e11, 8.40904e10, 0.44876, 0.061014, 2.21628, 4.34753, 1.37266, 3.0699e-12, 5.63347e-11]
80.3486281239682	cure	[0.148653, 0.379268, 0.0217878, 19.3413, 2.56759e11, 8.36936e10, 0.48833, 0.0681979, 2.337, 3.85227, 1.36188, 2.69638e-12, 5.98535e-11]
406.10268347678516	progression	[0.158239, 0.421268, 0.0236022, 19.1404, 2.47346e11, 7.43656e10, 0.447181, 0.0655663, 2.4387, 4.28307, 1.28983, 2.58383e-12, 5.76452e-11]
455.95713515695724	progression	[0.15833, 0.437172, 0.0231525, 20.1288, 2.42274e11, 7.89206e10, 0.495934, 0.065525, 2.07318, 4.10271, 1.36178, 3.10537e-12, 6.20017e-11]
314.81076004859204	progression	[0.157943, 0.401512, 0.0212783, 20.6634, 2.45297e11, 7.46482e10, 0.511723, 0.0626601, 2.33419, 4.33119, 1.3976, 2.94266e-12, 5.72959e-11]
330.23783810087804	progression	[0.155754, 0.393286, 0.0203658, 18.8816, 2.56277e11, 7.79053e10, 0.524427, 0.0664468, 2.25333, 4.38958, 1.3525, 3.17381e-12, 5.5198e-11]
357.50912553579496	progression	[0.161795, 0.412568, 0.0212462, 18.6886, 2.46486e11, 7.40741e10, 0.493425, 0.0609671, 2.33107, 3.83113, 1.27156, 3.17506e-12, 6.05411e-11]
499.50054447089605	progression	[0.153547, 0.405262, 0.0210908, 18.0354, 2.6086e11, 7.79689e10, 0.463936, 0.0628911, 2.2986, 4.05493, 1.25432, 3.19941e-12, 5.89875e-11]
13.124549650416238	cure	[0.150933, 0.462241, 0.0218718, 18.5117, 2.35567e11, 7.64952e10, 0.449158, 0.0627416, 2.23082, 4.44392, 1.4058, 2.98804e-12, 6.22735e-11]
257.89957594350636	progression	[0.161137, 0.417808, 0.0211045, 20.4556, 2.50498e11, 7.45774e10, 0.506758, 0.0708223, 2.20182, 4.00401, 1.45168, 2.95909e-12, 5.59887e-11]
472.76767339069124	progression	[0.149104, 0.410673, 0.0208627, 18.2324, 2.53897e11, 7.55602e10, 0.466602, 0.0640768, 2.26205, 4.01721, 1.267, 2.87162e-12, 5.41237e-11]
17.768582692581262	cure	[0.144288, 0.414889, 0.0217935, 19.1938, 2.37346e11, 7.92712e10, 0.487381, 0.0619577, 2.087, 3.99205, 1.41818, 2.9253e-12, 6.28258e-11]
419.3356314571235	progression	[0.170216, 0.413113, 0.0201254, 18.1789, 2.45807e11, 8.28176e10, 0.512067, 0.0643239, 2.27899, 4.16019, 1.47892, 2.77232e-12, 5.84111e-11]
385.6952038582445	progression	[0.153024, 0.403779, 0.0214234, 19.3902, 2.57227e11, 7.70977e10, 0.474765, 0.0690029, 2.13052, 4.6733, 1.24978, 3.04616e-12, 6.26341e-11]
297.49156877183884	progression	[0.174795, 0.384994, 0.0239318, 18.9912, 2.53287e11, 8.20535e10, 0.496742, 0.0616644, 2.48438, 4.2905, 1.39987, 3.29594e-12, 5.81717e-11]
21.819772689226006	cure	[0.161466, 0.4406, 0.0220667, 19.1613, 2.67873e11, 8.43575e10, 0.48818, 0.0638721, 2.41156, 4.03556, 1.4104, 2.95769e-12, 6.10144e-11]
403.0679525082874	progression	[0.159687, 0.406344, 0.022648, 18.7957, 2.54327e11, 7.79443e10, 0.49414, 0.0569407, 2.33012, 4.67797, 1.33731, 3.1613e-12, 5.46451e-11]
369.61232653409706	progression	[0.168195, 0.380916, 0.0203827, 19.774, 2.6326e11, 8.6822e10, 0.464363, 0.0648361, 2.32052, 4.54657, 1.27649, 3.26546e-12, 6.04768e-11]
465.72141577658334	progression	[0.1618, 0.423828, 0.0211909, 16.9757, 2.6652e11, 8.29831e10, 0.504256, 0.0719071, 2.32003, 4.67057, 1.44193, 2.96016e-12, 5.64505e-11]
28.62153781247872	cure	[0.147265, 0.395579, 0.0212062, 17.7975, 2.63092e11, 8.22714e10, 0.47255, 0.0674052, 2.2589, 4.26726, 1.4395, 2.93307e-12, 5.94246e-11]
284.4674732327841	progression	[0.163421, 0.400901, 0.0219734, 20.8848, 2.4779e11, 7.48894e10, 0.474029, 0.0641159, 2.21875, 4.31603, 1.27535, 2.9917e-12, 6.06771e-11]
61.53979630041645	cure	[0.163479, 0.426049, 0.0209251, 18.6221, 2.47815e11, 8.03974e10, 0.465896, 0.0698095, 2.32315, 4.15321, 1.36049, 2.85831e-12, 6.1131e-11]
262.7774142975843	progression	[0.169335, 0.40621, 0.0223548, 18.6122, 2.49975e11, 7.50981e10, 0.452064, 0.0682975, 2.2217, 4.35335, 1.3488, 3.10166e-12, 5.70822e-11]
455.03399167007905	progression	[0.154832, 0.405955, 0.0216647, 16.9485, 2.6226e11, 7.83364e10, 0.486575, 0.0692565, 2.25923, 4.53121, 1.41931, 2.70583e-12, 5.83691e-11]
